Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
Alisson,br  BRA,GK,31-131,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgil van Dijk,nl  NED,DF,32-217,21,21,1827.0,20.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.6,1.6,1.1,2.7,17.0,102.0,3.0,0.05,0.1,0.15,0.05,0.15,0.08,0.05,0.13,0.08,0.13
Mohamed Salah,eg  EGY,FW,31-240,20,20,1739.0,19.3,14.0,8.0,22.0,10.0,4.0,6.0,2.0,0.0,14.3,9.4,8.5,17.9,69.0,99.0,222.0,0.72,0.41,1.14,0.52,0.93,0.74,0.44,1.18,0.49,0.93
Dominik Szoboszlai,hu  HUN,MF,23-108,21,20,1657.0,18.4,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.1,2.1,4.2,6.3,59.0,120.0,114.0,0.16,0.11,0.27,0.16,0.27,0.11,0.23,0.34,0.11,0.34
Trent Alexander-Arnold,eng  ENG,DF,25-126,20,18,1577.0,17.5,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.8,1.5,5.2,6.6,31.0,146.0,64.0,0.11,0.17,0.29,0.11,0.29,0.1,0.29,0.39,0.08,0.38
Luis Díaz,co  COL,FW,27-028,22,17,1397.0,15.5,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,4.6,4.6,1.8,6.3,56.0,54.0,143.0,0.26,0.13,0.39,0.26,0.39,0.29,0.11,0.41,0.29,0.41
Alexis Mac Allister,ar  ARG,MF,25-048,18,17,1370.0,15.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.7,1.1,19.0,97.0,9.0,0.07,0.07,0.13,0.07,0.13,0.03,0.04,0.07,0.03,0.07
Darwin Núñez,uy  URU,FW,24-231,22,14,1330.0,14.8,7.0,7.0,14.0,7.0,0.0,1.0,7.0,0.0,10.8,10.1,4.9,14.9,36.0,40.0,133.0,0.47,0.47,0.95,0.47,0.95,0.73,0.33,1.06,0.68,1.01
Ibrahima Konaté,fr  FRA,DF,24-261,17,12,1152.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,0.4,0.9,16.0,89.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07
Joe Gomez,eng  ENG,DF,26-263,20,11,1174.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.8,1.2,27.0,60.0,82.0,0.0,0.08,0.08,0.0,0.08,0.04,0.06,0.1,0.04,0.1
